Product code;Language;Product id;Category;List price;Price;Weight;Quantity;Min quantity;Shipping freight;Date added;Downloadable;Files;Ship downloadable;Inventory tracking;Free shipping;Zero price action;Thumbnail;Detailed image;Product name;Description;Meta keywords;Meta description;Search words;Page title;Taxes;Features;Options;Secondary categories;Pay by points;Override points;Override exchange rate;SEO name;Short description;Status
10102014;ru;22;Тонеры///Тонер-картриджи;0.00;243.09647999999999;0.00;0.00;0;0.00;;N;;N;B;N;R;;;Тонер Canon NP 1215/1550/2020/6317/6416 (Hi-Black) NEW NPG-1, 3,8К, туба; NP-1015/1215S/1218/1318/1510/1520/1530/1820/2010/2120/,6020/6116/6216/6220/6221/6318;;;;;;;;;N;N;N;Toner-Canon-NP-12151550202063176416-HiBlack-NEW-NPG1-38K-tuba;;A
101020140;ru;23;Тонеры///Тонер-картриджи;0.00;214.77456;0.00;0.00;0;0.00;;N;;N;B;N;R;;;Тонер Canon NP 1215/1550/2020/6317/6416 (NetProduct) NEW NPG-1, 3,8К, туба; NP-1015/1215S/1218/1318/1510/1520/1530/1820/2010/2120/,6020/6116/6216/6220/6221/6318;;;;;;;;;N;N;N;Toner-Canon-NP-12151550202063176416-NetProduct-NEW-NPG1-38K-tuba;;A
1010205;ru;24;Тонеры///Тонеры черные;0.00;758.39808;0.00;12.00;0;0.00;;N;;N;B;N;R;;http://b2b.vtt.ru/images/1010205.jpg;Тонер Canon NP 1215/1550/2020/2120/6317/6416 (O) NPG-1, 190г, туба; NP1015/1215S/1218/1318/1510/1520/1530/1820/2010/2120/ 6020/6116/6216/6220/6221/6318;;;;;;;;;N;N;N;Toner-Canon-NP-121515502020212063176416-O-NPG1-190g-tuba;;A
1010505;ru;25;Тонеры///Тонеры черные;0.00;2887.2624;0.00;0.00;0;0.00;;N;;N;B;N;R;;http://b2b.vtt.ru/images/1010505.jpg;Тонер Canon NP 6012/6112/6212/6312/6512 (O) NPG-11, 280г, туба;;;;;;;;;;N;N;N;Toner-Canon-NP-60126112621263126512-O-NPG11-280g-tuba;;A
10105050;ru;26;Тонеры///Тонер-картриджи;0.00;591.61344;0.00;0.00;0;0.00;;N;;N;B;N;R;;;Тонер Canon NP 6012/6112/6212/6312/6512 (Hi-Black) NEW, NPG-11, 5K, туба; Canon NP-6012/6014/6118/6512/7120/7130/C120/122/130;;;;;;;;;N;N;N;Toner-Canon-NP-60126112621263126512-HiBlack-NEW-NPG11-5K-tuba;;A
101050500;ru;27;Тонеры///Тонер-картриджи;0.00;534.9696;0.00;1.00;0;0.00;;N;;N;B;N;R;;;Тонер Canon NP 6012/6112/6212/6312/6512 (NetProduct) NEW, NPG-11, 5K, туба; Canon NP-6012/6014/6118/6512/7120/7130/C120/122/130;;;;;;;;;N;N;N;Toner-Canon-NP-60126112621263126512-NetProduct-NEW-NPG11-5K-tuba;;A
1011307;ru;28;Тонеры///Тонеры черные;0.00;2257.8864;0.00;1.00;0;0.00;;N;;N;B;N;R;;http://b2b.vtt.ru/images/1011307.jpg;Тонер Canon NP 7161 (O) C-EXV6, 380г, туба;;;;;;;;;;N;N;N;Toner-Canon-NP-7161-O-CEXV6-380g-tuba;;A
101130712;ru;29;Тонеры///Тонер-картриджи;0.00;579.02592;0.00;2.00;0;0.00;;N;;N;B;N;R;;;Тонер Canon NP 7160/7161/7163/7164/7214 (Hi-Black) NEW C-EXV6, 7,2К, туба;;;;;;;;;;N;N;N;Toner-Canon-NP-71607161716371647214-HiBlack-NEW-CEXV6-72K-tuba;;A
1011309;ru;30;Тонеры///Тонеры черные;0.00;3497.75712;0.00;0.00;0;0.00;;N;;N;B;N;R;;http://b2b.vtt.ru/images/1011309.jpg;Тонер Canon iR 1600/2000 (O) C-EXV5, 440 г, туба; совместим с GPR-8;;;;;;;;;N;N;N;Toner-Canon-iR-16002000-O-CEXV5-440-g-tuba;;A
10113092;ru;31;Тонеры///Тонеры черные;0.00;534.18288;0.00;0.00;0;0.00;;N;;N;B;N;R;;;Тонер Canon iR 1600/2000 (KATUN...648) GPG-8, 440 г, туба***;Товар для распродажи;;;;;;;;;N;N;N;Toner-Canon-iR-16002000-KATUN648-GPG8-440-g-tuba;;A
1011310;ru;32;Тонеры///Тонеры черные;0.00;6204.07392;0.00;0.00;0;0.00;;N;;N;B;N;R;;http://b2b.vtt.ru/images/1011310.jpg;Тонер Canon iR 2200/2800/3300 (O) C-EXV3, туба; совместим с GPR-6;;;;;;;;;N;N;N;Toner-Canon-iR-220028003300-O-CEXV3-tuba;;A
10113102;ru;33;Тонеры///Тонеры черные;0.00;3532.3728;0.00;0.00;0;0.00;;N;;N;B;N;R;;;Тонер Canon iR 2230/2270/2870 (KATUN) C-EXV11, 1219 г, туба;;;;;;;;;;N;N;N;Toner-Canon-iR-223022702870-KATUN-CEXV11-1219-g-tuba;;A
10113103;ru;34;Тонеры///Тонеры черные;0.00;1254.8183999999999;0.00;0.00;0;0.00;;N;;N;B;N;R;;;Тонер Canon iR 2016/2020 (KTN) C-EXV14, 460 г, туба; IR 2018/2022/2025/2030/2318/2320/2420/2422;;;;;;;;;N;N;N;Toner-Canon-iR-20162020-KTN-CEXV14-460-g-tuba;;A
101131034;ru;35;Тонеры///Тонер-картриджи;0.00;616.00176;0.00;0.00;0;0.00;;N;;N;B;N;R;;;Тонер Canon iR 2016/2018/2020/2022/2025/2030 (Hi-Black) C-EXV14, 8,3К, туба;Товары TOP80 Canon iR 2016/2018/2020/2022/2025/2030;;;;;;;;;N;N;N;Toner-Canon-iR-201620182020202220252030-HiBlack-CEXV14-83K-tuba;;A
1011310340;ru;36;Тонеры///Тонер-картриджи;0.00;542.8368;0.00;12.00;0;0.00;;N;;N;B;N;R;;;Тонер Canon iR 2016/2018/2020/2022/2025/2030 (NetProduct) NEW C-EXV14, 8,3К, туба; Canon iR 2016/2018/2020/2022/2025/2030;;;;;;;;;N;N;N;Toner-Canon-iR-201620182020202220252030-NetProduct-NEW-CEXV14-83K-tuba;;A
1011312;ru;37;Тонеры///Тонеры черные;0.00;2696.08944;0.00;6.00;0;0.00;;N;;N;B;N;R;;http://b2b.vtt.ru/images/1011312.jpg;Тонер Canon iR 1210/1510/1570 (O) C-EXV7, туба; совместим с GPR-10, iR 1230/1270F/1510/1530/1570F;;;;;;;;;N;N;N;Toner-Canon-iR-121015101570-O-CEXV7-tuba;;A
